CARGO,SALÁRIO,REQUISITOS,JORNADA,BENEFICIO,ADICIONAIS,Nº Concurso,Homo. do CP,Prova Prática ou Curso,"Qtd Aprovados
Engenheiro Agrônomo,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,31,25/07/2025,24/07/2027,,25,,,,,1,5,"R$ 9.997,30",SUPERIOR 3
Engenheiro Ambiental,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,44,25/07/2025,24/07/2027,,36,,,,,5,3,"R$ 9.997,30",SUPERIOR 3
Engenheiro Civil,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,96,25/07/2025,24/07/2027,,81,,,1,684/2026-SMOP,11,3,"R$ 9.997,30",SUPERIOR 3
Engenheiro da Computação - Banco de Dados (SQL),"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/07/2022,Aprovados,,2,22/12/2022,21/12/2024,21/12/2026,2,,,,,,,"R$ 9.997,30",SUPERIOR 3
Engenheiro da Computação - Segurança da Informação,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/07/2022,Aprovados,,4,22/12/2022,21/12/2024,21/12/2026,4,,,,,,,"R$ 9.997,30",SUPERIOR 3
Engenheiro Elétrico,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,49,25/07/2025,24/07/2027,,49,,,,,,,"R$ 9.997,30",SUPERIOR 3
Engenheiro em Segurança do Trabalho,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,81,22/08/2025,21/08/2027,,81,,,,,,,"R$ 9.997,30",SUPERIOR 3
Engenheiro Sanitarista,"R$ 9.997,30",Graduação Superior em Engenharia  e registro profissional,40h,-,,01/01/2025,Aprovados,,1,25/07/2025,24/07/2027,,1,,,,,,,"R$ 9.997,30",SUPERIOR 3
Farmacêutico,"R$ 5.355,69",Graduação Superior em Farmacia e registro profissional,30h,-,,01/01/2025,Aprovados,,74,25/07/2025,24/07/2027,,72,1,,1,1-58/2025                                                  1- 1097/2026-SMS,1,,"R$ 5.355,69",SUPERIOR 3
Fiscal de Obras,"R$ 2.699,27",Ensino Médio e curso Tecnico em Edificações,40h,V.A,,01/01/2023,Aprovados,,13,28/04/2023,27/04/2025,21/04/2027,13,,,,,,,"R$ 2.699,27",MÉDIO 3
Fiscal Municipal Ambiental,"R$ 2.699,27",Ensino Médio,40h,V.A,,01/01/2026,Aprovados,,87,29/05/2026,19/05/2028,,85,,,1,7/2026 - SMMAP,,1,"R$ 2.699,27",MÉDIO 1
Fiscal Municipal de Posturas,"R$ 2.699,27",Ensino Médio,40h,V.A,,01/05/2023,Aprovados,,57,24/11/2023,23/11/2025,23/11/2027,45,,,2,1-652/2026-SEMUTTRANS            1-805/2026-SEMUTTRANS,1,9,"R$ 2.699,27",MÉDIO 1
Fiscal Municipal Tributário,"R$ 2.699,27",Ensino Médio,40h,V.A,,01/07/2022,Aprovados,,55,28/10/2022,27/10/2024,25/10/2026,55,,,,,,,"R$ 2.699,27",MÉDIO 1
Fisioterapeuta,"R$ 5.355,69",Graduação Superior em Fisioterapia e registro profissional,30h,-,,01/01/2025,Aprovados,,45,25/07/2025,24/07/2027,,42,2,,1,1-1067/2026-SMS                                1334/2025-SMS                           2287/2025-SMS,1,1,"R$ 5.355,69",SUPERIOR 3
Fonoaudiólogo,"R$ 5.355,69",Graduação Superior em Fonoaudiologia e registro profissional,30h,-,,01/03/2026,Aguardando CP,,0,29/05/2026,19/05/2028,,0,,9,1,1-511/2025- SMS                                            8- 511/2025-SMS      1-868/2026,1,7,"R$ 5.355,69",SUPERIOR 3
Geógrafo,"R$ 9.997,30",Graduação Superior em Geografia e registro profissional,40h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 9.997,30",SUPERIOR 3
Geólogo,"R$ 9.997,30",Graduação Superior em Geologia e registro profissional,40h,-,,01/07/2022,Aprovados,,22,18/11/2022,17/11/2024,16/11/2026,22,,,,,,,"R$ 9.997,30",SUPERIOR 3
Guarda Civil Municipal,"R$ 2.038,28","Ensino Médio Completo.
Carteira Nacional de Habilitação (CNH),
categoria A e categoria B, no mínimo, válida.
Possuir altura mínima,  1,60m para homens e
de 1,55m para mulheres. Ser maior de 18 (dezoito) anos, até o
início do estágio de formação.",40h,V.A,"Adicional de Risco de Vida, fixado em 40% (quarenta por cento) sobre o vencimento base",01/03/2025,Aprovados,674/77,164,30/12/2025,29/12/2027,,164,,,,,,,"R$ 2.853,59",MÉDIO 2
Instrutor de Artes - Artesanato com Argila,"R$ 3.213,41","Ensino Médio, conhecimento e habilidades na area de atuação",30h,-,,01/03/2026,Aguardando CP,,,,,,0,,1,,331/2026 - SMCT,,,"R$ 3.213,41",MÉDIO 2
Intérprete de Libras,"R$ 2.699,27",Ensino Médio e curso especializado realizado conforme Regulamentação Federal,30h,-,,01/05/2023,Aprovados,,1,24/11/2023,23/11/2025,23/11/2027,1,,,,,,,"R$ 2.699,27",MÉDIO 2
Jornalista,"R$ 7.497,97",Graduação Superior em Jornalismo ou Comunicação Social com habilitação em jornalismo e registro profissional,35h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 7.497,97",SUPERIOR 3
Lavador,"R$ 1.897,52",Alfabetizado,40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/05/2023,Aprovados,,15,12/01/2024,11/01/2026,12/01/2028,15,,,,,,,"R$ 2.277,02",FUNDAMENTAL 1
Médico Veterinário,"R$ 5.355,69",Graduação Superior em Medicina Veterinária e registro profissional,30h,-,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/01/2025,Aprovados,,58,25/07/2025,24/07/2027,,56,,,,,1,1,"R$ 6.426,83",SUPERIOR 3
Monitor Assistencial,"R$ 2.699,27",Ensino Médio,40h,V.A,,01/01/2026,Aguardando CP,,,,,,0,2,,,1-404/2025-SMDS    1- 47/2026-SMDS,,,"R$ 2.699,27",MÉDIO 1
Motorista A/B,"R$ 2.442,20","Ensino Fundamental Completo e CNH ""A/B'",40h,V.A + V.T,,01/03/2026,Aguardando CP,,,30/12/2025,29/12/2027,,0,1,4,,"3-S/ MEMO - SMA(AGUARDANDO CP)
           1-S/MEMO-SMA                 1-76/2026-SMSU",9,14,"R$ 2.442,20",FUNDAMENTAL 2
Motorista D,"R$ 2.442,20","Ensino Fundamental Completo e CNH ""D""",40h,V.A + V.T,Adicional de Condução de Veículos Urgência e Emergência: 30%; Veículos Pesados: 20% calculados sobre o seu vencimento.,01/01/2026,Aguardando CP,,,,,,0,1,17,,1-511/2025-SMS 6-S/MEMO-SMA    1-697/2026-SMS   1-522/2026-SMS  1-62/2026-SMOU                1-35/2026-SMOU   2-2353/2026-SME     1-2668/2026-SME    3-1717/2025 - SEMUTTRANS       1-1175/2026-SMDS,,,"R$ 3.174,86",FUNDAMENTAL 2
Nutricionista,"R$ 5.355,69",Graduação Superior em Nutrição e registro profissional,30h,-,,01/01/2025,Aprovados,,142,25/07/2025,24/07/2027,,137,1,,,1-1235/2025 - SMS,2,3,"R$ 5.355,69",SUPERIOR 3
Oficial Administrativo,"R$ 2.347,91",Ensino Médio e Informatica básica,40h,V.A + V.T,,01/01/2026,Aguardando CP,,,,,,0,,18,,"    1-89/2025-SMH
6-353/2026-SMS
                1-295/2026-SMCT
4-138/2026-SMMF      1-171/2026-SEMEDES       1-707/2026-SMS   1-305/2026-SEMEDES                             1-785/2026-SMS                  2-2018/2026-SME",,,"R$ 2.347,91",MÉDIO 2
Oficial de Manutenção (Eletricista),"R$ 2.699,27",Alfabetizado,40h,V.A,"Adc periculosidade 30% sobre o salário-base ( Incluso o adicional de insalubridade previsto para o Cargo de Serralheiro, com exceção das unidades consideradas não insalubres)",01/05/2023,Aprovados,65,12,12/01/2024,11/01/2026,11/01/2028,12,,,,,,,"R$ 3.509,05",FUNDAMENTAL 1
Oficial de Manutenção (Encanador),"R$ 2.699,27",Alfabetizado,40h,V.A,"Adc periculosidade 30% sobre o salário-base ( Incluso o adicional de insalubridade previsto para o Cargo de Serralheiro, com exceção das unidades consideradas não insalubres)",01/04/2025,Aprovados,,2,30/12/2025,29/12/2027,,1,,,,,1,,"R$ 3.509,05",FUNDAMENTAL 1
Oficial de Manutenção (Encanador),"R$ 2.699,27",Alfabetizado,40h,V.A,"Adc periculosidade 30% sobre o salário-base ( Incluso o adicional de insalubridade previsto para o Cargo de Serralheiro, com exceção das unidades consideradas não insalubres)",01/01/2026,Aguardando CP,,,,,,,,,,,,,"R$ 3.509,05",FUNDAMENTAL 1
Oficial de Manutenção (Pedreiro),"R$ 2.699,27",Alfabetizado,40h,V.A,"Adc periculosidade 30% sobre o salário-base ( Incluso o adicional de insalubridade previsto para o Cargo de Serralheiro, com exceção das unidades consideradas não insalubres)",01/01/2026,Aguardando CP,,,,,,0,,1,,1-252/2025-SMOU,,,"R$ 3.509,05",FUNDAMENTAL 1
Oficial de Manutenção (Pintor),"R$ 2.699,27",Alfabetizado,40h,V.A,"Adc periculosidade 30% sobre o salário-base ( Incluso o adicional de insalubridade previsto para o Cargo de Serralheiro, com exceção das unidades consideradas não insalubres)",01/04/2025,Aprovados,,4,30/12/2025,29/12/2027,,1,,,1,1-360/2026-SMSM,1,1,"R$ 3.509,05",FUNDAMENTAL 1
Oficial de Manutenção (Pintor),"R$ 2.699,27",Alfabetizado,40h,V.A,"Adc periculosidade 30% sobre o salário-base ( Incluso o adicional de insalubridade previsto para o Cargo de Serralheiro, com exceção das unidades consideradas não insalubres)",01/01/2026,Aguardando CP,,,,,,,,,,,,,"R$ 3.509,05",FUNDAMENTAL 1
Oficial de Manutenção (Serralheiro),"R$ 2.699,27",Alfabetizado,40h,V.A,"Adc periculosidade 30% sobre o salário-base ( Incluso o adicional de insalubridade previsto para o Cargo de Serralheiro, com exceção das unidades consideradas não insalubres)",01/04/2025,Aprovados,,6,30/12/2025,29/12/2027,,6,,,,,,,"R$ 3.509,05",FUNDAMENTAL 1
Oficial de Marcenaria,"R$ 3.213,41",Alfabetizado,40h,-,,01/01/2025,Aprovados,,3,27/08/2025,26/08/2027,,3,,,,,,,"R$ 3.213,41",FUNDAMENTAL 1
Operador de Máquinas (Tratorista),"R$ 2.035,16","Alfabetizado e CNH ""C""",40h,V.A + V.T,Adicional de Condução de Veículos Pesados: 20% calculados sobre o seu vencimento,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 2.442,19",FUNDAMENTAL 2
Operador de Tráfego,"R$ 2.699,27","Ensino Medio, CNH ""A/B"" e aptidão fisica",40h,V.A,,01/03/2026,Aguardando CP,,,,,,0,,2,,1-1717/2025-SEMUTTRANS    1-19/2026-SEMUTTRANS,,,"R$ 2.699,27",MÉDIO 2
Podador,"R$ 2.035,16",Alfabetizado,40h,V.A + V.T,,,Não Temos,,,,,,0,,,,,,,"R$ 2.035,16",FUNDAMENTAL 1
Procurador,"R$ 9.083,25","Graduação  Superior em Direito, registro  na  OAB e 02  (dois)  anos de efetivo exercício da prática jurídica.",30h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 9.083,25",SUPERIOR 3
"Professor de Artes - Artes Plásticas, Desenho, Grafite, Cartoon","R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Artes - Fotografia,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2024,Aprovados,,5,14/06/2024,13/06/2026,13/06/2028,5,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Dança - Ballet Clássico,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2024,Aprovados,,2,14/06/2024,13/06/2026,13/06/2028,2,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Dança - Contemporânea e Ritmos,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Dança - Jazz,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2025,Aprovados,,2,27/08/2025,26/08/2027,,2,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Dança - Ritmos,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2026,Aguardando CP,,,,,,0,,1,,1441/2025-SMCT,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Bateria e Percussão,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2024,Aprovados,,3,14/06/2024,13/06/2026,13/06/2028,2,,,,,1,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Cavaco e Cavaquinho,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Flauta transversal e Clarinete,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Guitarra e Violão Clássico,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Musicalização Infantil,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2024,Aprovados,,5,14/06/2024,13/06/2026,13/06/2028,1,,,,,2,2,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Piano popular/ Teclado/ Harmonia e Improvisação,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2026,Aguardando CP,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Saxofone,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Trompete / Trombone/ Sopro,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2024,Aprovados,,5,14/06/2024,13/06/2026,13/06/2028,5,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Violão Popular,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Música - Violino,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 2
Professor de Teatro,"R$ 5.355,69","Graduação com habilitação em Artes Plásticas ou Artes Visuais ou Licenciatura plena em Artes em qualquer das linguagens: Artes Visuais, Artes plásticas ou Design",30h,V.A,,01/01/2026,Aguardando CP,,,,,,0,,1,,1172/2025 - SMCT,,,"R$ 5.355,69",SUPERIOR 2
Psicólogo,"R$ 5.355,69",Graduação Superior em Psicologia e registro profissional,30h,-,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/01/2025,Aprovados,,61,25/07/2025,24/07/2027,,38,3,,2,1-58/2025-CGPGE-SMS       1-511/2025-SMS       1-2198/2025-SMS                            1-1093/2026-SMS                  1-1872/2026-SMDS,9,12,"R$ 6.426,83",SUPERIOR 3
Psicólogo - Neuropsicologia,"R$ 5.355,69","Graduação Superior em
Psicologia com Especialização
em Neuropsicologia e Registro
Profissional no Órgão
competente",30h,-,,01/05/2023,Aprovados,,11,24/11/2023,23/11/2025,23/11/2027,11,,,,,,,"R$ 5.355,69",SUPERIOR 3
Psicólogo - Recursos Humanos,"R$ 5.355,69","Graduação Superior em
Psicologia, com especialização
em Recursos Humanos, com
Registro Profissional no Órgão
competente",30h,-,,01/05/2023,Aprovados,,4,24/11/2023,23/11/2025,23/11/2027,4,,,,,,,"R$ 5.355,69",SUPERIOR 3
Psicopedagogo,"R$ 5.355,69",Graduação Superior ou especialização em Psicopedagogia,40h,-,,01/01/2024,Aprovados,,27,17/05/2024,16/05/2026,16/05/2028,27,,,,,,,"R$ 5.355,69",SUPERIOR 3
Supervisor de Ensino,"R$ 7.425,20","Graduação em Curso Superior de Licenciatura plena em Pedagogia ou pósgraduação em Gestão Escolar, com carga horária mínima de 360 horas e possuir no mínimo 10 (dez) anos de exercício em funções do magistério, dos quais pelo menos 03 (três) anos devem ser em Gestão Educacional nas funções de Coordenador Pedagógico, Orientador Pedagógico, Vice-Diretor de Escola, Assistente de Diretor de Escola, Diretor de Escola, Supervisor de Ensino ou Supervisor Pedagógico, podendo ser considerados vários períodos em qualquer
uma destas funções até atingir a soma
final dos 03 (três) anos exigidos.",40h,V.A,"Gratificação por complexidade (Padrão: R$ 1.000,00 ; Média: R$ 2.000,00; e Alta: R$ 2.800,00)",01/04/2023,Aprovados,,60,06/10/2023,05/10/2025,05/10/2027,60,,,,,,,"R$ 7.425,20",SUPERIOR 3
Técnico de Edificações,"R$ 2.699,27",Ensino Médio e curso Técnico em Edificações,40h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 2.699,27",MÉDIO 3
Técnico de Enfermagem,"R$ 3.863,31",Ensino Médio e curso Tecnico em Enfermagem e Registro Profissional,30h,V.A,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2025,Aprovados,,455,10/12/2025,09/12/2027,,422,9,,3,1-1040/2026-SMS    1- 929/2026-SMS   1- 930/2026 - SMS            3-58/2025-CGPGE   1-1286/2025-SMS   1-1643/2025 - SMS     1-1644/2025 - SMS      1-1965/2025-SMS         1-1649/2025-SMS      1-2252/2025-SMS,17,13,"R$ 4.635,97",MÉDIO 3
Técnico de Enfermagem do Trabalho,"R$ 3.863,31",Ensino Médio e curso Tecnico em Enfermagem e Registro Profissional,30h,V.A,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/07/2022,Aprovados,,4,28/10/2022,27/10/2024,27/10/2026,4,,,,,,,"R$ 4.635,97",MÉDIO 3
Técnico de Farmácia,"R$ 3.213,41",Ensino Médio e curso tecnico em Farmacia e registro profissional,40h,-,,01/05/2023,Aprovados,,32,24/11/2023,23/11/2025,23/11/2027,32,,,,,,,"R$ 3.213,41",MÉDIO 3
Técnico em Agrimensura,"R$ 2.699,27",Ensino Médio e curso tecnico em agrimensura,40h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 2.699,27",MÉDIO 3
Técnico em Contabilidade,"R$ 2.699,27","Ensino Médio, curso Tecnico em Contabiliadade e registro profissional",40h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 2.699,27",MÉDIO 3
Técnico em Eletrônica,"R$ 5.355,69","Ensino Médio e curso técnico em eletronica, conhecimentos de ingles e espanhol técnico.",40h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",MÉDIO 3
Técnico em Imobilizações Ortopédicas,"R$ 2.699,27",Ensino Médio e curso tecnico em imobilizações ortopédicas,40h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 2.699,27",MÉDIO 3
Técnico em Laboratório,"R$ 2.699,27",Ensino Médio e curso técnico em patologia clinica,40h,V.A,,,Não Temos,,,,,,0,,,,,,,"R$ 2.699,27",MÉDIO 3
Técnico em Meio Ambiente,"R$ 2.699,27",Ensino Médio e Curso técnico em gestão ambiental e registro profissional,40h,V.A,,01/01/2026,Aprovados,,16,29/05/2026,19/05/2028,,15,,,1,9/2025-SMMAP,,,"R$ 2.699,27",MÉDIO 3
Técnico em Prótese Odontológica,"R$ 3.213,41",Ensino Médio e curso técnico em próteses odontológicas e registro profissional,40h,-,Adc insalubridade grau minimo 10% salario minimo regional + Adc urgencia e emergencia,01/07/2022,Aprovados,,1,18/11/2022,17/11/2024,17/11/2026,1,,,,,,,"R$ 3.534,75",MÉDIO 3
Técnico em Prótese Odontológica,"R$ 3.213,41",Ensino Médio e curso técnico em próteses odontológicas e registro profissional,40h,-,Adc insalubridade grau minimo 10% salario minimo regional + Adc urgencia e emergencia,01/05/2023,Aprovados,,1,12/01/2024,11/01/2026,11/01/2028,1,,,,,,,"R$ 3.534,75",MÉDIO 3
Técnico em Saúde Bucal,"R$ 3.213,41","Ensino Médio, curso especializado e registro profissional",40h,-,Adc insalubridade grau minimo 10% salario minimo regional + Adc urgencia e emergencia,01/03/2022,Aprovados,,1,24/06/2022,23/06/2024,23/06/2026,1,,,,,,,"R$ 3.534,75",MÉDIO 3
Técnico em Saúde Bucal,"R$ 3.213,41",Ensino Médio e curso técnico em próteses odontológicas e registro profissional,40h,-,Adc insalubridade grau minimo 10% salario minimo regional + Adc urgencia e emergencia,01/07/2022,Aprovados,,2,18/11/2022,17/11/2024,17/11/2026,2,,,,,,,"R$ 3.534,75",MÉDIO 3
Técnico em Saúde Bucal,"R$ 3.213,41","Ensino Médio, curso especializado e registro profissional",40h,-,Adc insalubridade grau minimo 10% salario minimo regional + Adc urgencia e emergencia,01/02/2023,Aprovados,,1,15/06/2025,14/06/2027,,1,,,,,,,"R$ 3.534,75",MÉDIO 3
Técnico em Segurança do Trabalho,"R$ 3.213,41",Ensino Médio e curso tecnico em Segurança do Trabalho.  Registro profissional no Ministério do Trabalho.,40h,-,,01/04/2025,Aprovados,,18,10/12/2025,09/12/2027,,18,,,,,,,"R$ 3.213,41",MÉDIO 3
Técnico em Tecnologia da Informação,"R$ 3.213,41","Ensino Médio e curso técnico em informática, processamento de dados ou afins",40h,-,,01/05/2023,Aguardando CP,18,9,12/01/2024,11/01/2026,11/01/2028,0,,1,,314/2026-SMSD,6,3,"R$ 3.213,41",MÉDIO 3
Técnico Sóciocultural,"R$ 3.213,41","Ensino Médio e curso profissionalizante em Arte Dramatica, Artes Visuais, Comunicação Visual, produção de Áudio e Vídeo e areas afins",40h,-,,01/01/2025,Aprovados,,17,25/07/2025,24/07/2027,,15,,,,,1,1,"R$ 3.213,41",MÉDIO 3
Técnico Tributário,"R$ 3.916,18",Ensino Médio e curso Técnico em Contabilidade ou administração,40h,-,,01/01/2023,Aprovados,,95,28/04/2023,27/04/2025,27/04/2027,76,,,2,2-2071/2026 - SMF,11,6,"R$ 3.916,18",MÉDIO 3
Telefonista,"R$ 2.035,16",Ensino Médio e conhecimentos em PABX Digital e DDR,30h,V.A + V.T,Adc insalubridade grau minimo 10% salario minimo regional,,Cargo p/ Vacância,,,,,,0,,,,,,,"R$ 2.238,68",MÉDIO 2
Terapeuta Ocupacional,"R$ 5.355,69",Graduação Superior em Terapia Ocupacional e registro profissional,30h,-,Adc de Insalubridade de grau médio - 20% do salário mínimo municipal,01/03/2026,Aguardando CP,,,,,,0,,3,3,1-2587/2025-SMS                                  2-511/2025-SMS                             1-342/2026 - SMS         2-511/2026-SMS,,5,"R$ 6.426,83",SUPERIOR 3
Turismólogo,"R$ 5.355,69",Graduação Superior em Turismo,40h,-,,,Não Temos,,,,,,0,,,,,,,"R$ 5.355,69",SUPERIOR 1
Vice-Diretor de Escola,"R$ 6.020,35","Graduação em Curso Superior de licenciatura plena em Pedagogia ou pósgraduação “latu sensu” na área de Gestão Escolar, com carga horária mínima de 360 horas e possuir no mínimo 03 (três) anos de efetivo exercício em funções do magistério, comprovadamente.",40h,V.A,"Gratificação por complexidade (Padrão: R$ 1.000,00 ; Média: R$ 1.500,00; e Alta: R$ 2.000,00)",,Não Temos,,0,,,,0,,2,,1510/2026-SME,3,3,"R$ 6.020,35",SUPERIOR 3
Vigia Patrimonial,"R$ 1.897,52",Ensino Fudamental,40h,V.A + V.T,,,Não Temos,,,,,,0,,,,,,,"R$ 1.897,52",NÃO CLASSIFICADO